food_id,name,category,serving_g,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg,iron_mg,calcium_mg,vitaminA_ug,per100_protein_g,per100_fat_g,per100_carbs_g,per100_fiber_g,per100_sugar_g,per100_sodium_mg,per100_iron_mg,per100_calcium_mg,per100_vitaminA_ug
KF0001,Ugali (1 cup),staple,116,227.7,4.42,4.52,32.55,2.96,12.23,9.3,0.1,1.0,86.0,3.810344827586207,3.8965517241379306,28.060344827586203,2.5517241379310347,10.543103448275861,8.017241379310345,0.08620689655172414,0.8620689655172413,74.13793103448276
KF0002,Githeri (100g),staple,104,136.5,3.75,0.5,27.99,3.54,11.16,18.6,0.33,11.7,0.0,3.605769230769231,0.4807692307692308,26.91346153846154,3.4038461538461537,10.73076923076923,17.884615384615387,0.3173076923076923,11.25,0.0
KF0003,Rice (1 serving),staple,131,218.8,3.1,6.2,27.67,2.76,9.48,23.2,0.1,6.7,0.0,2.366412213740458,4.732824427480916,21.12213740458015,2.1068702290076335,7.236641221374046,17.709923664122137,0.07633587786259542,5.114503816793893,0.0
KF0004,Chapati (100g),staple,155,238.4,5.32,0.5,31.75,2.38,13.86,9.6,0.1,1.0,0.0,3.432258064516129,0.3225806451612903,20.483870967741936,1.5354838709677419,8.941935483870967,6.193548387096774,0.06451612903225806,0.6451612903225806,0.0
KF0005,Mandazi (slice),staple,129,245.0,5.55,4.36,34.89,3.07,13.49,18.3,0.49,1.2,0.0,4.3023255813953485,3.3798449612403103,27.046511627906977,2.37984496124031,10.457364341085272,14.186046511627907,0.3798449612403101,0.9302325581395349,0.0
KF0006,Sorghum Ugali (half cup),staple,114,105.6,4.96,0.5,17.41,2.28,5.56,22.8,0.1,7.7,0.0,4.350877192982456,0.43859649122807015,15.271929824561404,1.9999999999999998,4.87719298245614,20.0,0.08771929824561403,6.754385964912281,0.0
KF0007,Maize Porridge (1 serving),staple,152,148.0,3.67,3.21,14.1,2.15,4.86,6.9,0.1,12.3,36.3,2.414473684210526,2.111842105263158,9.276315789473685,1.4144736842105263,3.197368421052632,4.5394736842105265,0.06578947368421052,8.092105263157896,23.881578947368418
KF0008,Beans (piece),legume,152,191.4,12.25,1.51,17.94,1.36,6.79,9.6,0.1,1.0,20.2,8.05921052631579,0.993421052631579,11.80263157894737,0.8947368421052632,4.467105263157895,6.315789473684211,0.06578947368421052,0.6578947368421053,13.289473684210526
KF0009,Cowpeas (piece),legume,130,165.2,11.36,1.75,18.27,1.93,4.27,1.0,0.92,4.9,0.0,8.738461538461538,1.3461538461538463,14.053846153846154,1.4846153846153847,3.284615384615384,0.7692307692307693,0.7076923076923077,3.7692307692307696,0.0
KF0010,Green grams (1 serving),legume,115,165.9,9.75,3.86,17.35,1.02,7.45,24.7,1.09,1.0,0.0,8.478260869565217,3.356521739130435,15.086956521739133,0.8869565217391304,6.478260869565218,21.47826086956522,0.9478260869565218,0.8695652173913043,0.0
